"Deaths","Injured","Affected","Damage","Natural","Tech","Africa","America","Asia","Europe","Oceania"
0,0,1e+05,0,1,0,1,0,0,0,0
0,0,2e+06,0,1,0,1,0,0,0,0
21,0,1200000,0,1,0,1,0,0,0,0
14,11,11,0,0,1,1,0,0,0,0
31,0,70000,10000,1,0,1,0,0,0,0
49,0,0,0,1,0,0,0,1,0,0
42,71,71,0,0,1,0,1,0,0,0
22,29,29,0,0,1,0,0,1,0,0
12,18,18,0,0,1,0,0,1,0,0
21,19,19,0,0,1,1,0,0,0,0
0,0,800,0,1,0,0,1,0,0,0
3,0,5500,0,1,0,0,0,1,0,0
13,22,22,0,0,1,0,0,1,0,0
13,0,0,0,0,1,0,0,1,0,0
800,0,4500000,419200,1,0,1,0,0,0,0
40,35,35,0,0,1,1,0,0,0,0
15,25,25,0,0,1,1,0,0,0,0
29,7,7,0,0,1,0,1,0,0,0
0,0,1250,10000,1,0,1,0,0,0,0
30,50,50,0,0,1,1,0,0,0,0
26,0,70000,0,1,0,0,1,0,0,0
275,0,0,0,1,0,0,0,1,0,0
1,12,162,210000,1,0,0,1,0,0,0
0,0,1000,0,1,0,0,0,1,0,0
19,30,30,0,0,1,0,0,0,1,0
169,10,10,0,0,1,1,0,0,0,0
21,0,0,0,0,1,0,0,1,0,0
18,0,0,0,0,1,0,0,1,0,0
14,0,300,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,1,0
10,0,0,0,0,1,0,0,1,0,0
23,18,18,0,0,1,1,0,0,0,0
10,0,0,0,0,1,0,0,0,1,0
7,2528,1855007,73500,1,0,0,0,1,0,0
22,0,0,0,0,1,0,0,1,0,0
88,0,0,0,0,1,0,1,0,0,0
1,2,10302,483,1,0,0,0,1,0,0
2,0,600,0,1,0,1,0,0,0,0
50,0,153885,4080,1,0,0,0,1,0,0
0,163,163,0,0,1,0,0,0,1,0
11,30,30,0,0,1,0,0,1,0,0
0,30,62030,0,1,0,0,0,1,0,0
9,100,100,0,0,1,0,0,0,1,0
83,0,200,160000,1,0,1,0,0,0,0
0,0,550,2200,0,1,1,0,0,0,0
17,20,20,0,0,1,1,0,0,0,0
14,4,4,0,0,1,1,0,0,0,0
3,0,138776,5000,1,0,1,0,0,0,0
13,9,9,0,0,1,0,0,0,1,0
4,0,5e+05,80000,1,0,0,0,1,0,0
1,15,2015,0,1,0,0,0,1,0,0
0,0,564,0,1,0,0,0,0,1,0
24,0,0,0,1,0,1,0,0,0,0
507,0,0,0,1,0,0,0,1,0,0
27,0,100,0,1,0,1,0,0,0,0
16,0,254,0,1,0,1,0,0,0,0
230,0,2232,0,1,0,1,0,0,0,0
28,0,1834,0,1,0,1,0,0,0,0
10,0,40,0,1,0,1,0,0,0,0
3,0,189,0,1,0,1,0,0,0,0
22,0,0,0,0,1,1,0,0,0,0
0,0,1000,0,1,0,0,0,1,0,0
0,0,5250,0,1,0,0,0,1,0,0
22,100,1000,0,1,0,0,1,0,0,0
57,11,11,0,0,1,0,0,1,0,0
13,0,0,0,0,1,0,0,0,1,0
23,37,37,0,0,1,0,0,1,0,0
6,3,403,0,1,0,0,0,0,1,0
4,0,114,0,1,0,1,0,0,0,0
8,0,200,0,1,0,1,0,0,0,0
0,0,108,12000,1,0,0,0,0,1,0
18,23,23,0,0,1,0,0,1,0,0
10,0,0,0,0,1,0,0,1,0,0
0,0,5000,0,1,0,1,0,0,0,0
3,0,231,0,1,0,0,1,0,0,0
2,0,430,0,1,0,0,1,0,0,0
34,0,0,11600,1,0,0,0,1,0,0
70,0,266000,72900,1,0,1,0,0,0,0
11,0,0,0,0,1,0,0,1,0,0
21,27,27,0,0,1,0,0,1,0,0
54,0,0,0,1,0,1,0,0,0,0
12,30,30,0,0,1,0,0,1,0,0
0,0,68426,2214,1,0,0,0,1,0,0
3,105,105,0,1,0,1,0,0,0,0
10,16,16,0,0,1,0,0,1,0,0
3,0,410,2750,1,0,0,0,1,0,0
9,200,200,0,1,0,0,0,1,0,0
0,0,272000,50,1,0,1,0,0,0,0
1,0,200,90000,1,0,0,0,0,0,1
8,0,39000,0,1,0,0,1,0,0,0
34,11,11,0,0,1,1,0,0,0,0
186,0,2363,0,1,0,1,0,0,0,0
26,31,31,0,0,1,0,0,1,0,0
16,0,0,0,0,1,0,0,1,0,0
0,0,12000,0,1,0,1,0,0,0,0
0,5,5,0,1,0,1,0,0,0,0
37,10,10,0,0,1,0,1,0,0,0
55,35,35,0,0,1,0,0,1,0,0
130,0,736937,9000,1,0,1,0,0,0,0
17,0,0,1000,1,0,1,0,0,0,0
10,0,1516,0,1,0,0,0,1,0,0
12,0,0,0,1,0,1,0,0,0,0
11,0,1810,0,1,0,1,0,0,0,0
0,1,1,0,1,0,0,1,0,0,0
13,40,40,0,0,1,1,0,0,0,0
18,0,0,0,0,1,0,0,0,0,1
11,30,30,0,0,1,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0,0
7,0,6000,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,0
0,0,20000,1000,1,0,1,0,0,0,0
95,0,0,0,1,0,0,0,1,0,0
16,0,62,0,1,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,1,0,0,0,1,0
38,30,30,0,0,1,0,0,1,0,0
10,5,5,0,0,1,1,0,0,0,0
0,0,600,0,1,0,0,1,0,0,0
22,0,50,0,1,0,0,1,0,0,0
0,0,7000,0,1,0,0,1,0,0,0
602,0,4500,0,1,0,1,0,0,0,0
33,40,40,0,0,1,1,0,0,0,0
10,0,1,0,1,0,1,0,0,0,0
14,0,149,0,1,0,1,0,0,0,0
9,0,330,0,1,0,1,0,0,0,0
37,0,0,0,0,1,1,0,0,0,0
50,0,0,0,0,1,1,0,0,0,0
38,30,30,0,0,1,0,0,1,0,0
30,0,0,0,0,1,1,0,0,0,0
13,10,10,0,0,1,0,0,1,0,0
16,6,6,0,0,1,0,0,1,0,0
10,20,20,0,0,1,1,0,0,0,0
0,0,4000,0,0,1,1,0,0,0,0
13,0,0,0,0,1,1,0,0,0,0
0,50,3050,0,1,0,0,0,1,0,0
22,30,30,0,0,1,0,0,1,0,0
150,0,0,0,0,1,1,0,0,0,0
1,194,394,0,0,1,0,0,1,0,0
3,0,6000,0,1,0,1,0,0,0,0
11,14,14,0,0,1,0,0,1,0,0
17,6,6,0,0,1,0,0,1,0,0
13,0,0,0,1,0,0,0,0,1,0
16,53,53,0,1,0,0,0,1,0,0
101,61,61,0,0,1,1,0,0,0,0
128,0,1067,0,1,0,1,0,0,0,0
2,0,480,0,1,0,0,0,1,0,0
22,0,65,0,1,0,1,0,0,0,0
74,1,1,0,0,1,0,0,1,0,0
9,4,18004,3100,1,0,0,0,1,0,0
20,0,0,0,1,0,0,0,0,1,0
13,252,252,0,1,0,0,0,0,1,0
40,0,0,0,0,1,0,0,1,0,0
0,0,0,80000,1,0,0,0,0,1,0
0,0,3000,500,1,0,0,0,0,1,0
80,7,7,0,0,1,0,0,0,1,0
33,10,10,0,0,1,0,0,1,0,0
40,10,10,0,0,1,1,0,0,0,0
25,23,23,0,0,1,0,0,1,0,0
10,50,50,0,0,1,1,0,0,0,0
5,0,3300,450000,1,0,0,1,0,0,0
0,0,12400,0,1,0,0,0,1,0,0
17,0,0,0,0,1,0,1,0,0,0
23,1,369272,0,1,0,1,0,0,0,0
1,4,304,0,1,0,1,0,0,0,0
0,0,19800,5273,1,0,0,0,0,1,0
12,0,0,0,0,1,0,0,0,1,0
10,0,0,0,0,1,0,1,0,0,0
108,0,712,0,1,0,1,0,0,0,0
15,0,95,0,1,0,1,0,0,0,0
0,0,3352,0,1,0,0,0,1,0,0
0,0,123,0,1,0,1,0,0,0,0
9,0,60431,1e+05,1,0,0,0,0,1,0
0,0,350,0,1,0,0,0,1,0,0
13,2,2,0,0,1,0,0,1,0,0
14,17,17,0,0,1,1,0,0,0,0
1,0,2000,55000,1,0,0,0,0,1,0
10,20,20,0,0,1,1,0,0,0,0
1,0,3000,0,1,0,1,0,0,0,0
2,15,855,0,1,0,0,0,1,0,0
0,0,4000,0,1,0,0,0,0,1,0
16,0,229,0,1,0,1,0,0,0,0
36,0,435,0,1,0,1,0,0,0,0
12,0,0,0,0,1,0,0,1,0,0
15,0,40000,12000,1,0,0,0,1,0,0
31,45,45,0,0,1,0,1,0,0,0
1,0,23000,0,1,0,0,0,0,1,0
18,0,0,0,0,1,0,1,0,0,0
0,0,1e+05,0,1,0,0,1,0,0,0
