Deaths,Injured,Affected,Damage,Africa,America,Asia,Europe,Oceania,Natural
0,19.0,450019.0,2072000.0,0,1,0,0,0,1
0,0.0,0.0,0.0,1,0,0,0,0,1
4,0.0,100000.0,700000.0,0,1,0,0,0,1
4,0.0,12000.0,0.0,0,1,0,0,0,1
18,12.0,60012.0,0.0,0,1,0,0,0,1
1,100.0,100.0,0.0,0,0,1,0,0,0
10,0.0,0.0,0.0,0,0,1,0,0,0
0,0.0,107.0,0.0,0,0,0,1,0,0
12,0.0,8000.0,1000.0,0,0,1,0,0,1
210,0.0,41.0,0.0,1,0,0,0,0,0
3,300.0,300.0,0.0,0,0,1,0,0,1
0,0.0,4000.0,0.0,0,1,0,0,0,1
20,30.0,810.0,0.0,0,0,1,0,0,1
13,0.0,242.0,0.0,0,0,1,0,0,1
60,0.0,0.0,0.0,1,0,0,0,0,0
357,572.0,280572.0,0.0,0,0,1,0,0,1
19,0.0,0.0,0.0,0,1,0,0,0,0
0,0.0,2678193.0,0.0,1,0,0,0,0,1
200,0.0,1000.0,0.0,0,0,1,0,0,1
4,0.0,102.0,0.0,1,0,0,0,0,1
42,0.0,0.0,0.0,0,0,1,0,0,0
10,5.0,5.0,0.0,0,0,1,0,0,1
0,0.0,47800.0,10000.0,0,0,1,0,0,1
0,0.0,1000.0,0.0,0,0,0,0,1,1
0,0.0,0.0,100000.0,0,1,0,0,0,1
16,11.0,11.0,0.0,0,0,1,0,0,0
11,0.0,30.0,0.0,0,1,0,0,0,1
18,0.0,7000.0,0.0,0,0,1,0,0,1
0,0.0,0.0,0.0,0,0,0,1,0,1
25,250.0,5440.0,290000.0,0,0,1,0,0,1
36,115.0,4066.0,700000.0,0,1,0,0,0,1
13,1.0,1.0,0.0,0,1,0,0,0,0
0,0.0,15000000.0,796115.0,0,0,1,0,0,1
59,1.0,44461.0,0.0,0,0,1,0,0,1
0,18.0,5018.0,0.0,0,0,1,0,0,1
35,0.0,300.0,0.0,1,0,0,0,0,1
4,0.0,0.0,659000.0,0,0,0,1,0,1
0,0.0,2000.0,0.0,0,0,1,0,0,1
12,35.0,35.0,0.0,0,0,1,0,0,0
0,0.0,25000.0,7662.0,0,0,1,0,0,1
0,0.0,3000.0,0.0,0,1,0,0,0,1
14,0.0,181000.0,500.0,0,1,0,0,0,1
0,0.0,4500.0,0.0,1,0,0,0,0,1
23,5.0,5.0,0.0,0,0,1,0,0,0
0,0.0,1000.0,0.0,0,0,1,0,0,1
11,0.0,0.0,0.0,1,0,0,0,0,0
5,0.0,146.0,0.0,1,0,0,0,0,1
36,0.0,6000.0,0.0,1,0,0,0,0,1
3,0.0,34872.0,0.0,1,0,0,0,0,1
10,0.0,4500.0,0.0,0,1,0,0,0,1
0,0.0,67500.0,200000.0,0,1,0,0,0,1
4,0.0,0.0,0.0,0,1,0,0,0,1
10,0.0,50.0,0.0,0,0,1,0,0,0
0,0.0,300.0,80000.0,0,0,0,1,0,1
18,0.0,0.0,0.0,0,0,1,0,0,0
22,13.0,13.0,0.0,0,0,1,0,0,0
0,0.0,200.0,0.0,0,1,0,0,0,1
10,11.0,11.0,0.0,1,0,0,0,0,0
10,0.0,0.0,0.0,0,0,1,0,0,0
502,0.0,17352.0,0.0,1,0,0,0,0,1
77,0.0,0.0,0.0,0,0,1,0,0,0
20,20.0,20.0,0.0,0,1,0,0,0,0
17,0.0,0.0,0.0,0,0,0,1,0,0
30,0.0,0.0,0.0,1,0,0,0,0,0
24,17.0,17.0,0.0,0,1,0,0,0,0
10,0.0,8.0,0.0,0,0,0,1,0,0
4,0.0,3200.0,0.0,1,0,0,0,0,1
0,0.0,1800.0,0.0,0,0,1,0,0,1
12,30.0,30.0,0.0,1,0,0,0,0,0
0,1491.0,301491.0,33000.0,0,0,0,1,0,1
76,133.0,500133.0,7000.0,1,0,0,0,0,1
20,0.0,0.0,0.0,1,0,0,0,0,0
75,14.0,14.0,1320000.0,0,0,0,1,0,0
0,0.0,0.0,0.0,0,0,0,1,0,1
10,0.0,0.0,0.0,0,1,0,0,0,0
38,6.0,6.0,0.0,0,0,1,0,0,0
21,266.0,266.0,0.0,1,0,0,0,0,1
1,0.0,10000.0,0.0,0,0,0,1,0,1
15,0.0,0.0,0.0,0,0,1,0,0,0
5,0.0,0.0,0.0,0,0,0,1,0,1
15,0.0,4.0,0.0,0,1,0,0,0,0
12,13.0,13.0,0.0,0,1,0,0,0,0
0,0.0,12.0,0.0,0,0,1,0,0,0
0,0.0,0.0,0.0,0,1,0,0,0,1
1,60.0,291.0,0.0,0,0,1,0,0,0
22,40.0,40.0,0.0,1,0,0,0,0,0
0,0.0,0.0,0.0,0,0,0,1,0,1
6,0.0,0.0,0.0,0,0,1,0,0,1
11,0.0,17500.0,26000.0,0,0,1,0,0,1
1,0.0,0.0,15000.0,1,0,0,0,0,1
0,0.0,2389127.0,0.0,1,0,0,0,0,1
21,15.0,15.0,0.0,1,0,0,0,0,0
13,0.0,70000.0,10000000.0,0,1,0,0,0,1
0,0.0,4044.0,60000.0,0,0,0,0,1,1
176,1150.0,1150.0,14000000.0,0,1,0,0,0,1
21,1.0,1.0,0.0,0,0,1,0,0,0
136,16.0,16.0,0.0,0,1,0,0,0,0
0,0.0,46093.0,0.0,1,0,0,0,0,1
